Event	ID	Name			Wwise Object Path	Notes
	875170180	SeaStorm_Start			\Default Work Unit\Storm\SeaStorm\SeaStorm_Start	
	1930650448	LandStorm_Start			\Default Work Unit\Storm\LandStorm\LandStorm_Start	
	2153236280	SeaStorm_Stop			\Default Work Unit\Storm\SeaStorm\SeaStorm_Stop	
	2309730339	Sea_Oneshot			\Default Work Unit\Envoriment\Sea_Oneshot	
	2475524499	ShipStorm_Start			\Default Work Unit\Storm\ShipStorm\ShipStorm_Start	
	2869071164	LandStorm_Stop			\Default Work Unit\Storm\LandStorm\LandStorm_Stop	
	4008905809	ShipStorm_Stop			\Default Work Unit\Storm\ShipStorm\ShipStorm_Stop	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2380834754	StormLevel			\Default Work Unit\StormLevel	

Effect plug-ins	ID	Name	Type				Notes
	828253992	Wwise_Delay_(Custom)	Wwise Delay			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	177788513	Atoll_Enviorment_Sea_Oneshot_4(Seagull)	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\Atoll_Enviorment_Sea_Oneshot_4(Seagull)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Sea\Sea_Calm\Land_Calm_Oneshots\Seagull\Atoll_Enviorment_Sea_Oneshot_4(Seagull)		118848
	249002992	Atoll_Enviorment_Sea_Oneshot_1(BirdWing)	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\Atoll_Enviorment_Sea_Oneshot_1(BirdWing)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Sea\Sea_Calm\Land_Calm_Oneshots\Seagull_Wings\Atoll_Enviorment_Sea_Oneshot_1(BirdWing)		57408
	288966919	Atoll_Enviorment_Sea_Oneshot_2(BIrdWing)	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\Atoll_Enviorment_Sea_Oneshot_2(BIrdWing)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Sea\Sea_Calm\Land_Calm_Oneshots\Seagull_Wings\Atoll_Enviorment_Sea_Oneshot_2(BIrdWing)		34880
	293950242	Atoll_Storm_Land_1	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\ambience,electricity,lab,buzz_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Land\Land_Storm\Land_Storm_Levels\Atoll_Storm_Land_1		2706244
	335424453	Atoll_Storm_Sea_2	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\Atoll_Storm_Sea_2 _10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Sea\Sea_Storm\Sea_Storm_Levels\Atoll_Storm_Sea_2		18907200
	433092165	Atoll_Enviorment_Sea_Oneshot_5(Seagull)	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\Atoll_Enviorment_Sea_Oneshot_5(Seagull)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Sea\Sea_Calm\Land_Calm_Oneshots\Seagull\Atoll_Enviorment_Sea_Oneshot_5(Seagull)		70208
	438625089	Atoll_Storm_Land_2	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\ambience,fans,medium_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Land\Land_Storm\Land_Storm_Levels\Atoll_Storm_Land_2		3265420
	438812705	Atoll_Storm_Land_3	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\ambience,wind,heavyMachines_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Land\Land_Storm\Land_Storm_Levels\Atoll_Storm_Land_3		57657348
	876226826	Atoll_Enviorment_Sea_Oneshot_3(BirdWing)	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\Atoll_Enviorment_Sea_Oneshot_3(BirdWing)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Sea\Sea_Calm\Land_Calm_Oneshots\Seagull_Wings\Atoll_Enviorment_Sea_Oneshot_3(BirdWing)		29760
	935822094	Atoll_Enviorment_Sea_Oneshot_6(Seagull)	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\Atoll_Enviorment_Sea_Oneshot_6(Seagull)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Sea\Sea_Calm\Land_Calm_Oneshots\Seagull\Atoll_Enviorment_Sea_Oneshot_6(Seagull)		112704
	937912693	Atoll_Storm_Sea_3	C:\Games\pro games\edit\Atoll\The-Atoll-Repository\The-Atoll-Repository_WwiseProject\.cache\Mac\SFX\Atoll_Storm_Sea_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enviorment\Sea\Sea_Storm\Sea_Storm_Levels\Atoll_Storm_Sea_3		21135424
